UF;Contaminados;Óbitos;% Contaminada;Taxa de Mortalidade;Percentual Brasileiro;
AC;404;19;0,0485;4,700%;0,47%;0,32%
AL;1044;47;0,0312;4,500%;1,22%;0,80%
AM;5254;425;0,1267;8,089%;6,15%;7,20%
AP;1080;34;0,1277;3,148%;1,26%;0,58%
BA;2851;104;0,0191;3,647%;3,34%;1,76%
CE;7606;482;0,0832;6,337%;8,91%;8,17%
DF;1356;30;0,0449;2,212%;1,59%;0,51%
ES;2465;83;0,0613;3,367%;2,89%;1,41%
GO;781;29;0,0111;3,810%;0,91%;0,49%
MA;3190;184;0,045;5,768%;3,74%;3,12%
MG;1827;82;0,0086;4,488%;2,14%;1,39%
MS;255;9;0,0091;3,529%;0,30%;0,15%
MT;297;11;0,0085;3,700%;0,35%;0,19%
PA;2876;208;0,0334;7,232%;3,37%;3,52%
PB;814;62;0,0202;7,610%;0,95%;1,05%
PE;6876;565;0,0719;8,217%;8,05%;9,57%
PI;513;24;0,0156;4,670%;0,60%;0,41%
PR;1407;83;0,0123;5,899%;1,65%;1,41%
RJ;9453;854;0,0547;9,030%;11,07%;14,47%
RN;1177;56;0,0335;4,757%;1,38%;0,95%
RO;502;16;0,282;3,187%;0,59%;0,27%
RR;519;7;0,0856;1,348%;0,61%;0,12%
RS;1466;51;0,0128;3,478%;1,72%;0,86%
SC;2085;46;0,0291;2,206%;2,44%;0,78%
SE;447;12;0,194;2,684%;0,52%;0,20%
SP;28698;2375;0,0624;8,275%;33,61%;40,25%
TO;137;3;0,0087;2,189%;0,16%;0,05%
BR;85380;5901;;;100,00%;100,00%
